Topic,Words,Frequency,Class
-1,"math, math standard, pe physical, 68 math, subjectcurriculum",33,Variety of Materials
0,"payment cancel, try cancel month, cancel month, try cancel, want cancel",27,Variety of Materials
1,"new job, subscribe service, switch job, job, service",20,Variety of Materials
2,"way print download, preview download woth, print download, allow preview download, preview download",4,Variety of Materials
3,"printable poster, printable, online print, print laminate, print want",6,Variety of Materials
4,"school special education, school vocational, school school special, elementary special, elementarymiddle school",10,Variety of Materials
5,"comprehension passage sciencesocial, read copywriting, english phonic game, phonic game, game lunache read",4,Variety of Materials
6,"website afford, occasional price, cost unreasonable, reasonably price, able pay",7,Variety of Materials
7,"science english, various subject, provide bible, time cheer science, parish provide",4,Variety of Materials
8,"appreciate variety quality, look satisfactory write, shia look satisfactory, look satisfactory, quality need justify",3,Variety of Materials
9,"summer school thank, summer school afford, thank summer need, summer school, potentially summer school",3,Variety of Materials
10,"occasionally niece need, excellent need time, need time, need time anymore, prtf possibly january",3,Variety of Materials
11,"budget pay, save money, paycheck reduce way, afford time, like just afford",5,Variety of Materials
12,"school place provide, able school site, outside able school, school place, school site lot",4,Variety of Materials
13,"hispanic month, hispanic month nee, spanish site, south america spanish, spanish inmersion",3,Variety of Materials
14,"experience change district, switch level pathsplan, change district, change district level, change career 54",3,Variety of Materials
15,"special education interactive, education interactive, education interactive help, internet special education, computer internet special",4,Variety of Materials
16,"school subscribe email, school subscribe, set school account, school renew, school account",3,Variety of Materials
-1,"afterschool need product, elementary afterschool need, work need, money help, school align",18,Resource Quality
0,"cancel help, cancel month, think cancel, cancel free, try cancel month",15,Resource Quality
1,"meet goal, helpful stressful, love helpful, meet goal long, love helpful stressful",7,Resource Quality
2,"print download, download zip, download zip file, want download zip, zip file",15,Resource Quality
3,"graphic design exist, teachable like printable, printable advanced, printable, photography animation graphic",7,Resource Quality
4,"add grammar world, like add grammar, add grammar, grammar world middle, world middle school",1,Resource Quality
5,"vocabulary grammar, phoneme, zhuyin phoneme, vocabulary, read ability",6,Resource Quality
6,"justify nearly 90, price significantly increase, nearly 90 spend, 90 spend, like price significantly",1,Resource Quality
7,"limit christian educator, secular educational, christian educator work, christian educator, christian content",4,Resource Quality
8,"appreciate volume creative, modify greatly make, make useful, greatly make useful, greatly make",5,Resource Quality
9,"summer month school, subject require summer, need summer, summer need right, need summer potentially",4,Resource Quality
10,"hit spotsomewhat inaccurate, little cringy confusing, spotsomewhat inaccurate, math incorrect answer, key math incorrect",3,Resource Quality
11,"financial hardship cut, experience financial hardship, hardship cut, financial hardship, hardship cut regular",1,Resource Quality
12,"private school excellent, school place provide, school excellent love, school excellent, thank private school",2,Resource Quality
13,"russian immersion english, english add option, immersion english renew, add option spanish, option spanish",2,Resource Quality
14,"position change intervention, position change, switch ultimate core, option position change, change intervention",2,Resource Quality
15,"soldier present second, help set soldier, set soldier present, present second college, college level",1,Resource Quality
